Ultima, GTR720, 2.6
Bugatti, Veyron, 2.7
Ariel, Atom Supercharged, 2.7
SSC, Ultimate Aero TT, 2.8
TVR, Cerbera Speed 12, 2.8
Ascari, A10, 2.8
Koenigsegg, CCXR Special Edition, 2.9  
Caterham, Levante, 2.9
Porsche, 9FF GT9R, 2.9
Koenigsegg, Agera R, 2.9
Caparo, T1, 2.9
Caterham, 7 Superlight R500, 2.9
Porsche, 9FF GT9, 3.0
Mclaren, MP4-12C, 3.1
Lamborghini, Gallardo LP560-4, 3.2
Westfield Sport, 2000, 3.2
Koenigsegg, CCX, 3.2
McLaren, F1, 3.2
Saleen, S7, 3.3
Ariel, Atom 300 Supercharged, 3.3
Mercedes,-Benz McLaren SLR Stirling Moss, 3.4
Ferrari, 458 Italia, 3.4
Chevrolet, Corvette ZR1, 3.4
Nissan, GT-R Spec V, 3.4
Lamborghini, Reventon, 3.4
Porsche, 911 997 GT2, 3.4
Caterham, 7 Superlight R500, 3.4
Bugatti, EB110 SuperSport, 3.4
Ferrari, 599 GTB Fiorano, 3.5
Noble, M400, 3.5
Mitsubishi, Lancer Evo VIII MR FQ400, 3.5
Lamborghini, Murcielago LP640, 3.5
Ferrari, Enzo, 3.5
Nissan, R35 GTR, 3.5
Ferrari, 430 Scuderia, 3.5
Lamborghini, Murcielago , 3.6
Mercedes,-Benz SLR McLaren 722 Edition, 3.6
Jaguar, XJ220, 3.6
Pagani, Zonda F, 3.6
Tramontana, R, 3.6
Ferrari, F40, 3.7
Porsche, 959, 3.7
Ferrari, F50, 3.7
Chevrolet, Corvette Z06, 3.7
Pagani, Zonda C12 S , 3.7
Ruf, R Turbo, 3.7
Melling, Wildcat, 3.7
Koenigsegg, CCR, 3.8
Lamborghini, Diablo , 3.8
Pagani, Zonda Roadster, 3.8
Radical, SR3, 3.8
Lamborghini, Gallardo Superleggera, 3.8
Brabus, Bullit, 3.8
Caterham, 7 Superlight R400, 3.8
Chevrolet, Corvette Callaway C16, 3.8
Ford, GT, 3.8
Maserati, MC12, 3.8
Mercedes,-Benz SLR McLaren, 3.8
Dodge, Viper SRT10 ACR, 3.8
Mercedes,-Benz SLR McLaren Roadster, 3.8
Tesla, Roadster, 3.9
TVR, Cerbera , 3.9
Audi, R8 V10, 3.9
TVR, Sagaris, 3.9
Ferrari, F430, 3.9
Noble, M12 GTO-3R, 3.9
Wiesmann, GT MF5, 3.9
Porsche, 911 Turbo, 3.9
Noble, M12 GTO, 3.9
Porsche, Carrera GT, 3.9
TVR, Tuscan S, 3.9
Ferrari, California, 3.9
Caterham, 7 CSR, 3.9
Mitsubishi, Lancer Evo IX FQ360, 3.9
Lotus, Exige 240R, 3.9
Porsche, 911 GT3 RS , 3.9
Porsche, 911 Turbo, 3.9
Aston, Martin V12 Vantage RS, 4.0
TVR, Cerbera , 4.0
Ferrari, 360 Challenge Stradale, 4.0
Porsche, 911 Turbo, 4.0
Ford, Shelby Mustang GT500, 4.0
Porsche, 911 GT2, 4.0
Dodge, Viper GTS, 4.0
Chevrolet, Corvette, 4.0
Lotus, Exige S, 4.1
Ferrari, F430 Spider, 4.1
Cadillac, CTS-V auto, 4.1
Ascari, KZ1, 4.1
TVR, Chimaera , 4.1
Ruf, CTR Yellow Bird, 4.1
Cadillac, CTS-V Manual, 4.1
Alfa, Romeo 8C Competitizione, 4.2
Lotus, Espirit V8, 4.2
Lamborghini, Gallardo Spyder, 4.2
Morgan, Aeromax, 4.2
Ferrari, 575M Fiorano, 4.2
Porsche, 911 GT3 RS, 4.2
Audi, R8 V12 TDI, 4.2
Aston, Martin DBS, 4.2
BMW, M6 E63, 4.2
TVR, Tamora, 4.2
Lamborghini, Gallardo, 4.3
Aston, Martin Vantage, 4.3
Bentley, Continental GT Speed, 4.3
Audi, RS6 Avant, 4.3
Ferrari, 360 Modena F1, 4.3
Ferrari, 550 Maranello, 4.3
Subaru, Impreza STI Type RA Spec C, 4.3
Audi, R8, 4.3
Porsche, 911 997 GT3, 4.3
Ferrari, 612 Scaglietti F1, 4.3
Ford, Gurney Signature Edition Mustang, 4.3
Mercedes,-Benz S65 AMG, 4.4
TVR, T350T, 4.4
Mitsubishi, Lancer Evo VI GSR, 4.4
Mercedes, C63 AMG, 4.4
Mercedes,-Benz CLS 63 AMG, 4.4
Aston, Martin V12 Vanquish, 4.4
Porsche, 911 996 GT3 RS, 4.4
Subaru, Impreza STI, 330, 4.4
Mercedes,-Benz CL65 AMG, 4.4
Mitsubishi, Lancer Evo VIII MR FQ-340, 4.4
Mitsubishi, Lancer Evo IX FQ-320, 4.5
Bentley, Continental GTZ Zagato, 4.5
Holden, HSV GTS Supercharger, 4.5
Bentley, Continental GTC Speed, 4.5
Mercedes,-Benz CL 600 Coupe, 4.5
Mercedes,-Benz S63 AMG, 4.5
Porsche, 911 GT3, 4.5
Mitsubishi, Lancer Evo VI RS, 4.5
Lotus, 340R, 4.5
Dodge, Viper SRT/10, 4.6
Aston, Martin V8 Vantage, 4.6
Lamborghini, Countach LP5000S QV, 4.6
Audi, RS6, 4.6
Jaguar, XKR, 4.6
Nissan, Skyline R34 GTR, 4.6
Porsche, 911 Carrera, 4.6
Wiesmann, GT MF4, 4.6
TVR, Griffith , 4.7
Ferrari, 355 F1 Berlinetta, 4.7
Lotus, Elise S2 Sport, 4.7
Audi, RS4, 4.7
Jaguar, XFR, 4.7
BMW, Alpina B5 E60, 4.7
BMW, M5 E60, 4.7
Porsche, Cayenne Turbo, 4.7
Bentley, Continental GTC, 4.7
Mitsubishi, Lancer Evo VII GSR, 4.7
Vauxhall, VX220 Turbo, 4.7
Caterham, 7 Superlight R300, 4.7
Mercedes,-Benz CLS 55 AMG, 4.7
Bentley, Continental GT, 4.7
TVR, T350C, 4.7
Cadillac, STS-V, 4.7
BMW, M3 Coupe E92, 4.8
BMW, Alpina B7 E65, 4.8
BMW, Z4 M Roadster, 4.8
BMW, Z8, 4.8
Audi, RS6, 4.8
BMW, Alpina B3 Biturbo, 4.8
Mercedes,-Benz E55 AMG, 4.8
Ferrari, 512TR, 4.8
Dodge, Charger SRT8, 4.8
Aston, Martin Vanquish S, 4.8
Subaru, Impreza RB320, 4.8
BMW, M3 E46, 4.8
Maserati, GranSport, 4.8
Mitsubishi, Lancer Evo VI Tommi Makinen, 4.8
Farbio, GTS, 4.8
Audi, RS2 Avant, 4.8
Aston, Martin V8 Vantage, 4.8
BMW, M6 Convertible, 4.8
TVR, Griffith, 4.8
Porsche, 911 Carrera S Cabriolet, 4.8
Jaguar, XKR, 4.9
MG, XPower SV-R, 4.9
Subaru, Impreza P1, 4.9
BMW, M3 CSL, 4.9
Chrysler, 300c SRT8, 4.9
Ferrari, 512TR, 4.9
Lotus, Evora, 4.9
Audi, RS4 Cabriolet, 4.9
Aston, Martin V8 Vantage Roadster, 4.9
BMW, M3 E90 Saloon, 4.9
Lexus, IS-F, 4.9
Aston, Martin V8 Vantage N400, 4.9
BMW, M5 E39, 4.9
Lexus, IS, 4.9
Maserati, Granturismo S, 4.9
Mercedes,-Benz SLK 55 AMG, 4.9
Mazda, RX-7 FD, 4.9
Lotus, Carlton, 4.9
Lotus, Europa SE, 4.9
Maserati, 4200 GT, 4.9
Vauxhall, VXR8, 4.9
Lotus, Exige S2, 4.9
Ferrari, 288GTO, 4.9
Bentley, Brooklands, 5.0
Subaru, Impreza RB5, 5.0
Audi, S5, 5.0
Aston, Martin DB9, 5.0
Mitsubishi, Lancer Evo X RS, 5.0
Nissan, Skyline R33 GTR, 5.0
BMW, Alpina Z4 Roadster S, 5.0
Maybach, 57S, 5.0
Subaru, Impreza 22B STi, 5.0
Ford, RS200, 5.0
Jaguar, XJR, 5.0
Subaru, Legacy  2.5GT spec. B, 5.1
Lotus, Elise R, 5.1
Vauxhall, Monaro VXR , 5.1
Maserati, Quattroporte Sport GTS, 5.1
BMW, 550i M Sport, 5.1
Maserati, 3200GT, 5.1
Audi, S8, 5.1
Audi, S6, 5.1
Mitsubishi, Lancer Evo VIII GSR, 5.1
BMW, Z4 M Coupe, 5.1
Maserati, Quattroporte, 5.1
Lotus, Elise S2, 111, 5.1
BMW, E86 Z4 M Coupe, 5.1
Toyota, Supra, 5.1
BMW, Z4 sDrive  3.5i, 5.1
Lotus, Esprit GT3, 5.1
Porsche, 911 Carrera 4S, 5.1
Porsche, Cayman S, 5.2
Aston, Martin V8 Vantage, 5.2
Ford, Mustang GT, 5.2
Porsche, 911 993 Carrera 2, 5.2
Bentley, Arnage T, 5.2
Maserati, Ghibli Cup, 5.2
Aston, Martin DB7 Vantage, 5.2
Aston, Martin DB7, 5.2
Ferrari, Testarossa, 5.2
Subaru, Impreza WRX STi PPP, 5.2
Subaru, Impreza Turbo, 5.2
Jaguar, XK , 5.2
Mercedes,-Benz C55 AMG, 5.2
Ferrari, 456M GT, 5.2
Nissan, 370Z Roadster, 5.2
Mercedes,-Benz C32 AMG, 5.2
Nissan, 300ZX, 5.2
TVR, Chimaera , 5.2
Porsche, Cayman S, 5.3
Jaguar, XKR-S, 5.3
Mercedes,-Benz E500, 5.3
Ford, GT40, 5.3
Subaru, Impreza STI, 5.3
BMW, 335i E90, 5.3
Maybach, 62, 5.3
BMW, 135i E82, 5.3
Infiniti, M45 Sport, 5.3
BMW, M3 Evolution E36, 5.3
Pontiac, G8 GT, 5.3
BMW, M Roadster, 5.3
Jaguar, S Type R, 5.3
